"date","datatype","station","attributes","value"
"2020-04-05T00:00:00","TMAX","GHCND:ASN00085279",",,a,",19.9
"2020-04-05T00:00:00","TMIN","GHCND:ASN00085279",",,a,",5.3
"2020-04-06T00:00:00","PRCP","GHCND:ASN00085279",",,a,",8.2
"2020-04-06T00:00:00","TMAX","GHCND:ASN00085279",",,a,",17.8
"2020-04-06T00:00:00","TMIN","GHCND:ASN00085279",",,a,",9
"2020-04-07T00:00:00","PRCP","GHCND:ASN00085279",",,a,",0
"2020-04-07T00:00:00","TMAX","GHCND:ASN00085279",",,a,",16.9
"2020-04-07T00:00:00","TMIN","GHCND:ASN00085279",",,a,",8
"2020-04-08T00:00:00","PRCP","GHCND:ASN00085279",",,a,",0
"2020-04-08T00:00:00","TMAX","GHCND:ASN00085279",",,a,",18.8
"2020-04-08T00:00:00","TMIN","GHCND:ASN00085279",",,a,",11.6
"2020-04-09T00:00:00","PRCP","GHCND:ASN00085279",",,a,",1
"2020-04-09T00:00:00","TMAX","GHCND:ASN00085279",",,a,",19.5
"2020-04-09T00:00:00","TMIN","GHCND:ASN00085279",",,a,",10.6
"2020-04-10T00:00:00","PRCP","GHCND:ASN00085279",",,a,",0.2
"2020-04-10T00:00:00","TMAX","GHCND:ASN00085279",",,a,",22.5
"2020-04-10T00:00:00","TMIN","GHCND:ASN00085279",",,a,",9
"2020-04-11T00:00:00","PRCP","GHCND:ASN00085279",",,a,",10.2
"2020-04-11T00:00:00","TMAX","GHCND:ASN00085279",",,a,",15.3
"2020-04-11T00:00:00","TMIN","GHCND:ASN00085279",",,a,",12.2
"2020-04-12T00:00:00","PRCP","GHCND:ASN00085279",",,a,",2.6
"2020-04-12T00:00:00","TMAX","GHCND:ASN00085279",",,a,",17.1
"2020-04-12T00:00:00","TMIN","GHCND:ASN00085279",",,a,",9.1
"2020-04-13T00:00:00","PRCP","GHCND:ASN00085279",",,a,",0
"2020-04-13T00:00:00","TMAX","GHCND:ASN00085279",",,a,",17
"2020-04-13T00:00:00","TMIN","GHCND:ASN00085279",",,a,",7.2
"2020-04-14T00:00:00","PRCP","GHCND:ASN00085279",",,a,",0.2
"2020-04-14T00:00:00","TMAX","GHCND:ASN00085279",",,a,",21.8
"2020-04-14T00:00:00","TMIN","GHCND:ASN00085279",",,a,",8.2
"2020-04-15T00:00:00","PRCP","GHCND:ASN00085279",",,a,",0.2
"2020-04-15T00:00:00","TMAX","GHCND:ASN00085279",",,a,",26.2
"2020-04-15T00:00:00","TMIN","GHCND:ASN00085279",",,a,",9.3
"2020-04-16T00:00:00","PRCP","GHCND:ASN00085279",",,a,",0
"2020-04-16T00:00:00","TMAX","GHCND:ASN00085279",",,a,",23.1
"2020-04-16T00:00:00","TMIN","GHCND:ASN00085279",",,a,",14.9
"2020-04-17T00:00:00","PRCP","GHCND:ASN00085279",",,a,",0
"2020-04-17T00:00:00","TMAX","GHCND:ASN00085279",",,a,",19.3
"2020-04-17T00:00:00","TMIN","GHCND:ASN00085279",",,a,",7.4
